timestamp,age_group,gender,program_of_study,study_programme,study_hours_weekdays,study_hours_weekends,session_length,review_notes,attendance_rate,sleep_hours,screen_time,stress_level,motivation_level,time_management,learning_satisfaction,average_gpa,gpa_range,study_habit_effect,study_hours_weekdays_num,study_hours_weekends_num,sleep_hours_num,screen_time_num,attendance_rate_num,review_notes_num,stress_band,sleep_band
2025-10-15 21:33:38.776,18 - 22,Male,Data Science,Bsc,3 - 4 hours,3–4 hours,30–59 minutes,Always,75-89%,6-7,<2 hours,5,3,3,3,2.5443037974683542,3.5-4.0,"Yes, significantly",3.5,3.5,6.5,0.5,0.82,4,High,Good
2025-10-16 21:03:29.138,18 - 22,Female,Agriculture ,Bsc,5 - 6 hours,2–3 hours,1–2 hours,Sometimes,50–74%,5-6,4-6 hours,2,2,4,3,2.0,2.0-2.49,Not sure,5.5,2.5,5.5,5.0,0.62,2,Low,Good
2025-10-17 14:38:08.979,18 - 22,Female,Data Science,Advanced Diploma,More than 5 hours,2–3 hours,30–59 minutes,Sometimes,75-89%,6-7,2-4 hours,4,2,4,4,2.5443037974683542,3.5-4.0,"Yes, significantly",2.6066666666666665,2.5,6.5,3.0,0.82,2,Medium,Good
2025-10-22 19:41:41.964,18 - 22,Male,Event management ,Advanced Diploma,Less than 1 hour,More than 5 hours,2 - 3 hours,Always,75-89%,6-7,4-6 hours,3,2,4,4,3.0,3.0-3.49,Maybe,0.5,9.5,6.5,5.0,0.82,4,Medium,Good
2025-10-22 19:45:05.101,23 - 26,Male,Data Science,Bsc,1 - 2 hours,2–3 hours,30–59 minutes,Never,50–74%,7-8,4-6 hours,3,3,4,4,2.0,2.5-2.99,Somewhat,1.5,2.5,7.5,5.0,0.62,1,Medium,Good
2025-10-22 19:52:22.607,18 - 22,Female,Fashion Design,Bsc,More than 5 hours,I don’t study on weekends,1–2 hours,Always,75-89%,6-7,4-6 hours,4,3,4,5,3.0,2.5-2.99,Maybe,2.6066666666666665,,6.5,5.0,0.82,4,Medium,Good
2025-10-22 20:01:21.707,23 - 26,Female,Electronic technology,Higher National Diploma,1 - 2 hours,3–4 hours,30–59 minutes,Often,50–74%,5-6,6-8 hours,5,4,4,3,2.5443037974683542,2.5-2.99,"Yes, significantly",1.5,3.5,5.5,7.0,0.62,3,High,Good
2025-10-22 20:44:43.927,23 - 26,Female,Fashion Design,BA (Hons ) Dgree ,More than 5 hours,I don’t study on weekends,30–59 minutes,Sometimes,≥90%,4-5,<2 hours,4,3,5,3,2.5443037974683542,3.5-4.0,"Yes, significantly",2.6066666666666665,,4.5,0.5,0.95,2,Medium,Good
2025-10-22 21:04:08.175,27 - 35,Female,Fashion Design,BA,More than 5 hours,More than 5 hours,2 - 3 hours,Never,≥90%,4-5,2-4 hours,5,5,3,2,2.5443037974683542,3.5-4.0,"Yes, significantly",2.6066666666666665,9.5,4.5,3.0,0.95,1,High,Good
2025-10-22 21:24:45.300,18 - 22,Female,Fashion Design,Advanced Diploma,Less than 1 hour,2–3 hours,30–59 minutes,Often,≥90%,8-9,6-8 hours,2,2,1,2,4.0,3.0-3.49,"Yes, significantly",0.5,2.5,8.5,7.0,0.95,3,Low,Good
